Michael Porter Jr.,DEN,26,81,2565,0.3,0.4,1.2,0.1,0,4.4
Nikola Jokić,DEN,29,79,2737,1.6,4.5,3.1,0.3,0.1,7.3
Peyton Watson,DEN,21,80,1488,0.7,0.5,2,0.6,0,10.3
Reggie Jackson,DEN,34,82,1817,0.6,0.3,1.7,0.3,0.1,5.4
Zeke Nnaji,DEN,23,58,576,1.6,5.4,2.2,0.3,0,13.4
Ausar Thompson,DET,21,63,1583,0.4,0.6,3,0.5,0,6.9
Buddy Boeheim,DET,24,10,84,0,0.4,1.3,0.9,0,3.4
Cade Cunningham,DET,22,62,2074,0.5,0.2,1.8,0.3,0,5.9
Chimezie Metu,DET,27,51,859,1,1.2,3.1,0,0,7.2
Evan Fournier,DET,31,32,580,0.7,0.2,4.2,0.5,0.1,2.9
Isaiah Livers,DET,25,23,469,0.7,0.9,2.5,0.3,0,7.4
Isaiah Stewart,DET,23,46,1423,1,1.6,0.5,0.2,0,10.9
Jaden Ivey,DET,22,77,2218,0.5,0.3,1.7,0.3,0,5
Jalen Duren,DET,20,61,1777,1.8,5.8,1.4,0.4,0,9.8
James Wiseman,DET,23,63,1091,1.6,6.5,0.5,0.2,0,13.6
Jared Rhoden,DET,24,17,245,1.2,0.1,1.9,0.6,0,6.8
Jaylen Nowell,DET,24,13,214,0.2,0.2,0.8,0.2,0,2
Joe Harris,DET,32,16,170,1.7,0.2,1.3,0.8,0.2,6.4
Kevin Knox II,DET,24,31,560,0.7,0.4,1.2,0.3,0,6.2
Killian Hayes,DET,22,42,1008,0.6,0.1,2.6,0.4,0,5.3
Malachi Flynn,DET,26,69,877,0.3,0.2,2.5,0.8,0,4.6
Malcolm Cazalon,DET,22,1,3,0,0,0,0,0,0
Marcus Sasser,DET,23,71,1351,0.2,0.3,2.2,0.5,0,4.5
Quentin Grimes,DET,24,51,1025,0.2,0.3,2.1,0.4,0,5
Simone Fontecchio,DET,28,66,1644,0.7,0.5,1.6,0.4,0,5.6
Stanley Umude,DET,25,24,307,0.4,0.1,1.9,0.6,0,8.8
Taj Gibson,DET,39,20,204,2.3,6.2,1.8,0,0,7.8
Tosan Evbuomwan,DET,23,17,367,1.2,0.6,1.5,0.3,0.2,7.7
Troy Brown Jr.,DET,24,59,827,0.6,0.2,2,0.5,0,5.5
Andrew Wiggins,GSW,29,71,1920,0.8,1,1.7,0.3,0,7.1
Brandin Podziemski,GSW,21,74,1968,0.8,1.1,2.1,0.5,0.7,4.3
Chris Paul,GSW,39,58,1531,0.5,0.9,2.7,0.7,0,2.8
Cory Joseph,GSW,32,26,296,0.7,0.9,1.2,0,0,6
Dario Šarić,GSW,30,64,1098,1.8,1.9,2.7,0.1,0.1,10.1
Draymond Green,GSW,34,55,1490,2.1,3.4,2.8,0.3,0.5,11.2
Gary Payton II,GSW,31,44,680,0.4,2.1,4.7,0.7,0,5.3
Gui Santos,GSW,22,23,192,1.3,0.4,1.3,0.4,0,7.7
Jerome Robinson,GSW,27,22,81,0.9,0.4,1.3,0.4,0,4.9
Jonathan Kuminga,GSW,21,74,1949,0.7,0.8,1.7,0.5,0,6.7
Kevon Looney,GSW,28,74,1194,2,6.1,1.2,0.3,0,12.8
Klay Thompson,GSW,34,77,2284,0.3,0.6,1.3,0.2,0,4.5
Lester Quinones,GSW,23,37,394,0.4,0.9,2,0.2,0.3,3.7
Moses Moody,GSW,22,66,1156,0.7,0.4,2.5,0.8,0.3,5.8
Pat Spencer,GSW,27,6,26,0,0,0,0,0,2.8
Stephen Curry,GSW,36,74,2422,0.3,1.2,1.7,0.4,0.1,4.5
Trayce Jackson-Davis,GSW,24,68,1130,2.1,5.8,1.6,0.3,0,13.5
Usman Garuba,GSW,22,6,18,0,0,10,0,0,18
Aaron Holiday,HOU,27,78,1269,0.9,0.5,2.2,0.3,0,4.3
Alperen Sengun,HOU,21,63,2046,2.1,4.6,2.6,0.3,0.1,10.2
Amen Thompson,HOU,21,62,1389,0.3,0.9,3.6,0.6,0,5.9
Boban Marjanović,HOU,35,14,71,1.5,9.6,1,0,0,10.6
Cam Whitmore,HOU,19,47,880,0.6,0,2.9,0.2,0,3.7
Dillon Brooks,HOU,28,72,2227,0.6,0.5,1.7,0.3,0,5.5
Fred VanVleet,HOU,30,73,2684,0.6,0.7,3,0.4,0,3.8
Jabari Smith Jr.,HOU,21,76,2424,0.9,0.8,1.9,0.3,0,8
Jae'Sean Tate,HOU,28,65,1031,1.3,1.1,2.7,0.7,0.3,7.9
Jalen Green,HOU,22,82,2601,0.2,0.1,1.7,0.2,0,4.6
Jeff Green,HOU,37,78,1307,1.2,2.7,1.2,0.2,0.1,9.3
Jermaine Samuels Jr.,HOU,25,14,60,1.2,3,1.8,0,0,7.8
Jock Landale,HOU,28,56,764,1.7,6.5,1.5,0.2,0,11.1
Nate Hinton,HOU,25,15,75,0,0,3.4,0.5,0.5,2.9
Nate Williams,HOU,25,22,129,0.6,0,3.3,0.6,0,5
Reggie Bullock Jr.,HOU,33,44,417,0.9,0.8,1.4,0.2,0,4.3
Tari Eason,HOU,23,22,480,0.8,0.5,4.4,0.8,0,8.9
Aaron Nesmith,IND,24,72,1995,0.5,0.3,2.1,0.4,0.1,8.4
Andrew Nembhard,IND,24,68,1697,0.3,0.3,2.3,0.4,0.1,4.6
Ben Sheppard,IND,22,57,814,0.5,0.3,2.1,0.3,0,5.4
